/home/lujunda/.conda/envs/myyolov5/lib/python3.7/site-packages/torchvision/models/_utils.py:209: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  f"The parameter '{pretrained_param}' is deprecated since 0.13 and may be removed in the future, "
/home/lujunda/.conda/envs/myyolov5/lib/python3.7/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
Epoch [1/30], Batch [1150/1163], Loss: 9.3073
Epoch [1/30], Batch [1155/1163], Loss: 9.2277
Epoch [1/30], Batch [1160/1163], Loss: 9.2493
Epoch [1/30], Loss: 9.2823
Epoch [2/30], Batch [5/1163], Loss: 9.1477
Epoch [2/30], Batch [10/1163], Loss: 9.0282
Epoch [2/30], Batch [15/1163], Loss: 9.1795
Epoch [2/30], Batch [20/1163], Loss: 9.1851
Epoch [2/30], Batch [25/1163], Loss: 8.9509
Epoch [2/30], Batch [30/1163], Loss: 9.0702
Epoch [2/30], Batch [35/1163], Loss: 9.5525
Epoch [2/30], Batch [40/1163], Loss: 9.0333
Epoch [2/30], Batch [45/1163], Loss: 9.0024
Epoch [2/30], Batch [50/1163], Loss: 9.2074
Epoch [2/30], Batch [55/1163], Loss: 9.0455
Epoch [2/30], Batch [60/1163], Loss: 9.2152
Epoch [2/30], Batch [65/1163], Loss: 8.8434
Epoch [2/30], Batch [70/1163], Loss: 8.9070
Epoch [2/30], Batch [75/1163], Loss: 9.0114
Epoch [2/30], Batch [80/1163], Loss: 9.1478
Epoch [2/30], Batch [85/1163], Loss: 8.9705
Epoch [2/30], Batch [90/1163], Loss: 8.9935
Epoch [2/30], Batch [95/1163], Loss: 9.2302
Epoch [2/30], Batch [100/1163], Loss: 8.9231
Epoch [2/30], Batch [105/1163], Loss: 9.0029
Epoch [2/30], Batch [110/1163], Loss: 8.8683
Epoch [2/30], Batch [115/1163], Loss: 9.0056
Epoch [2/30], Batch [120/1163], Loss: 9.0383
Epoch [2/30], Batch [125/1163], Loss: 9.0122
Epoch [2/30], Batch [130/1163], Loss: 9.0376
Epoch [2/30], Batch [135/1163], Loss: 8.8977
Epoch [2/30], Batch [140/1163], Loss: 8.9612
Epoch [2/30], Batch [145/1163], Loss: 9.1081
Epoch [2/30], Batch [150/1163], Loss: 9.1065
Epoch [2/30], Batch [155/1163], Loss: 9.1357
Epoch [2/30], Batch [160/1163], Loss: 8.9700
Epoch [2/30], Batch [165/1163], Loss: 9.2050
Epoch [2/30], Batch [170/1163], Loss: 9.1674
Epoch [2/30], Batch [175/1163], Loss: 8.6807
Epoch [2/30], Batch [180/1163], Loss: 8.8779
Epoch [2/30], Batch [185/1163], Loss: 9.0867
Epoch [2/30], Batch [190/1163], Loss: 8.8725
Epoch [2/30], Batch [195/1163], Loss: 8.9326
Epoch [2/30], Batch [200/1163], Loss: 9.0326
Epoch [2/30], Batch [205/1163], Loss: 8.9530
Epoch [2/30], Batch [210/1163], Loss: 9.0814
Epoch [2/30], Batch [215/1163], Loss: 9.0992
Epoch [2/30], Batch [220/1163], Loss: 9.1201
Epoch [2/30], Batch [225/1163], Loss: 9.0037
Epoch [2/30], Batch [230/1163], Loss: 8.9033
Epoch [2/30], Batch [235/1163], Loss: 8.8330
Epoch [2/30], Batch [240/1163], Loss: 9.2472
Epoch [2/30], Batch [245/1163], Loss: 8.8813
Epoch [2/30], Batch [250/1163], Loss: 9.2802
Epoch [2/30], Batch [255/1163], Loss: 8.8618
Epoch [2/30], Batch [260/1163], Loss: 9.0245
Epoch [2/30], Batch [265/1163], Loss: 8.9254
Epoch [2/30], Batch [270/1163], Loss: 8.8918
Epoch [2/30], Batch [275/1163], Loss: 8.9467
Epoch [2/30], Batch [280/1163], Loss: 9.0957
Epoch [2/30], Batch [285/1163], Loss: 8.9521
Epoch [2/30], Batch [290/1163], Loss: 9.0825
